id,name,text_path,audio_path,narrator,duration,author,text_url,audio_url,alignment_path,sample_rate,quality,word_count,num_sentences,audio_size,text_size
d5d597cb,dich-hoc-tinh-hoa,,,"{'id': 'ac1ed3bf', 'name': 'Lê Như Quỳnh', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/le-nhu-quynh', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",5.7903,Nguyễn Duy Cần,https://thuviensachpdf.com/dich-hoc-tinh-hoa,https://sachnoiviet.net/sach-noi/dich-hoc-tinh-hoa,,,,,,,
37227db0,nghe-thuat-lay-long-khach-hang,,,"{'id': 'c5818a23', 'name': 'Bà Già Đọc Sách', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/ba-gia-doc-sach', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",5.0614,Michael J. Meher,https://thuviensachpdf.com/nghe-thuat-lay-long-khach-hang,https://sachnoiviet.net/sach-noi/nghe-thuat-lay-long-khach-hang,,,,,,,
0e381872,nhung-xac-chet-cam-lang,,,"{'id': '65c714d3', 'name': 'Lê Duyên', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/le-duyen', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",6.6858,James Hadley Chase,https://thuviensachpdf.com/nhung-xac-chet-cam-lang,https://sachnoiviet.net/sach-noi/nhung-xac-chet-cam-lang,,,,,,,
4a5e2e8b,y-cao-tinh-đep,,,"{'id': '12d46032', 'name': 'Hướng Dương', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/huong-duong', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",6.3056,Nguyễn Hiến Lê,https://thuviensachpdf.com/y-cao-tinh-dep,https://sachnoiviet.net/sach-noi/y-cao-tinh-dep,,,,,,,
e53ab671,mien-tay,,,"{'id': '43c4132b', 'name': 'Trung Nghị', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/trung-nghi', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",6.6889,Tô Hoài,https://thuviensachpdf.com/mien-tay,https://sachnoiviet.net/sach-noi/mien-tay,,,,,,,
6a1fe1a6,ban-sinh-ra-đa-giau-co,,,"{'id': '130aece5', 'name': 'Việt Dũng', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/viet-dung', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",5.5372,Bob Proctor,https://thuviensachpdf.com/ban-sinh-ra-da-giau-co,https://sachnoiviet.net/sach-noi/ban-sinh-ra-da-giau-co,,,,,,,
160e4839,ban-chat-cua-doi-tra,,,"{'id': 'ab5fcfc0', 'name': 'Unknown', 'dialect': None, 'gender': None, 'age': None, 'url': 'Unknown', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",6.0417,Dan Ariely,https://thuviensachpdf.com/ban-chat-cua-doi-tra,https://sachnoiviet.net/sach-noi/ban-chat-cua-doi-tra,,,,,,,
ec098676,phi-ly-tri,,,"{'id': '9d830840', 'name': 'Unknown', 'dialect': None, 'gender': None, 'age': None, 'url': 'Unknown', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",5.1733,Dan Ariely,https://thuviensachpdf.com/phi-ly-tri,https://sachnoiviet.net/sach-noi/phi-ly-tri,,,,,,,
50272651,on-nhu-cung-la-quyen-ru,,,"{'id': '36bea63c', 'name': 'Mộc', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/moc', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",5.6244,Cổ Minh,https://thuviensachpdf.com/on-nhu-cung-la-quyen-ru,https://sachnoiviet.net/sach-noi/on-nhu-cung-la-quyen-ru,,,,,,,
5549d57a,mat-troi-luc-nua-đem,,,"{'id': 'ff51de74', 'name': 'Mr Thu', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/mr-thu', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",6.0658,Kat Martin,https://thuviensachpdf.com/mat-troi-luc-nua-dem,https://sachnoiviet.net/sach-noi/mat-troi-luc-nua-dem,,,,,,,
